item1_id,item2_id,item1_text,item2_text,item1_score,item2_score,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
5360,14407,Fellow trans girl here! Love and support confirmed!,"As a Pale white Algerian, I frequently play on the American server for Overwatch, and almost everyone assumes I am Black, and are surprised or don't believe me when i say I am actually white with dark blond hair and dark green eyes!  There is great diversity in Africa, people by know should know.",-8.34,-5.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48374,4328,"Straight white Male but Fuckin love this song. ""Why men great till they gotta be great?"" No Idea still tryin to figure that out myself.","NTA. You should tell your Dad why you're really angry with him. He straight up abandoned you for another family and tried to make it sound like he was doing something virtuous. Bully kid propaby did need a father figure, but so did you. You have every right to be angry. But, if letting your Dad continue to believe you're a homophobe makes it easier for you to deal with him then dont say anything.",-3.56,-3.42,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32319,14352,No bitch apply enough pressure to make me feel insecure about myself I'm sorry you can be coldest bitch Inna world I still feel like I'm that bitch PERIODTTT❗️❗️❗️,"Beat it out of her, or throw her to the curb. No use for uppity niggers.",-2.11,3.76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15892,5360,Hope he gets PTSD when I rip Fattys intestines out of his asshole.,Fellow trans girl here! Love and support confirmed!,4.44,-8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28090,4328,@freetobe66 @michaelbeatty3 @1Romans58 @realDonaldTrump I Will Be Damned If My Federal Tax Dollars Will Be Used To Give Scum Sucking Illegals Free Health Insurance. They Should Be Terminated At The Border,"NTA. You should tell your Dad why you're really angry with him. He straight up abandoned you for another family and tried to make it sound like he was doing something virtuous. Bully kid propaby did need a father figure, but so did you. You have every right to be angry. But, if letting your Dad continue to believe you're a homophobe makes it easier for you to deal with him then dont say anything.",4.65,-3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5719,20877,Literally anything racist or with the nword,Wait— Dudes are clowning this kid and calling him gay for wearing pink? Ya really not comfortable with your own sexuality and it shows. I think this fit is dumb cute. URL,-2.49,-6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4457,28090,"happy pride, one year, I volunteered for our city's pride parade and I remember thinking that it was the first time in my life that I was the sexual minority (I'm a heterosexual), as everyone around me was LGBT. This was just for a weekend and I'm an adult so I can imagine a child or a teen who lives that every day could find that very challenging.",@freetobe66 @michaelbeatty3 @1Romans58 @realDonaldTrump I Will Be Damned If My Federal Tax Dollars Will Be Used To Give Scum Sucking Illegals Free Health Insurance. They Should Be Terminated At The Border,-2.89,4.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10695,39121,"That's why that one came here, went through the difficult process of getting a green card, waited for citizenship, got citizenship, became a part of her community, won election to the a Minnesota House, and won election to the US House. Sounds pretty much like she must love this country.","Very sad to hear the news of the demise of respected former foreign minister @SushmaSwaraj ji She did not discriminate against anyone, be it Pakistan or Indian, but helped every person Today, Indian politics and BJP have lost a leader of good personality.(1/1) #RIPSushmaSwaraj ji URL",-5.79,-5.85,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
5719,48685,Literally anything racist or with the nword,"Libtard self-hating unhappy women pretending. and falsely claiming to be ""religious conservative women"" replying to that article complaining about it's findings, it's so obvious",-2.49,-0.42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32523,14352,"New Issue from the @GaDjournal on Humanitarian Action and Crisis Response, looking at cutting-edge insights on innovative humanitarian programming aiming to advance women's rights and gender equality URL URL","Beat it out of her, or throw her to the curb. No use for uppity niggers.",-6.21,3.76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32523,44720,"New Issue from the @GaDjournal on Humanitarian Action and Crisis Response, looking at cutting-edge insights on innovative humanitarian programming aiming to advance women's rights and gender equality URL URL",The only due process is deportation. Seriously people? There should never be any RIGHTS guaranteed to any ILLEGAL other than a bus ride back to the country they snuck over the boarder from.,-6.21,-0.09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22129,48685,@CardDominant here to spoil but you're talking shit ?? Shut the fuck up. Can't even show your ugly ass face cause you're probably some old fucking hag who has a clit instead of a dick. Blocked again.,"Libtard self-hating unhappy women pretending. and falsely claiming to be ""religious conservative women"" replying to that article complaining about it's findings, it's so obvious",3.58,-0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
